PassengerId,Prediction
892,1.0
893,0.0
894,1.0
895,1.0
896,0.0
897,1.0
898,0.0
899,1.0
900,0.0
901,1.0
902,1.0
903,1.0
904,0.0
905,1.0
906,0.0
907,0.0
908,1.0
909,1.0
910,0.0
911,0.0
912,1.0
913,1.0
914,0.0
915,1.0
916,0.0
917,1.0
918,0.0
919,1.0
920,1.0
921,1.0
922,1.0
923,1.0
924,0.0
925,0.0
926,1.0
927,1.0
928,0.0
929,0.0
930,1.0
931,1.0
932,1.0
933,1.0
934,1.0
935,0.0
936,0.0
937,1.0
938,1.0
939,1.0
940,0.0
941,0.0
942,1.0
943,1.0
944,0.0
945,0.0
946,1.0
947,1.0
948,1.0
949,1.0
950,1.0
951,0.0
952,1.0
953,1.0
954,1.0
955,0.0
956,1.0
957,0.0
958,0.0
959,1.0
960,1.0
961,0.0
962,0.0
963,1.0
964,0.0
965,1.0
966,0.0
967,1.0
968,1.0
969,0.0
970,1.0
971,0.0
972,1.0
973,1.0
974,1.0
975,1.0
976,1.0
977,1.0
978,0.0
979,0.0
980,0.0
981,1.0
982,0.0
983,1.0
984,0.0
985,1.0
986,1.0
987,1.0
988,0.0
989,1.0
990,0.0
991,1.0
992,0.0
993,1.0
994,1.0
995,1.0
996,0.0
997,1.0
998,1.0
999,1.0
1000,1.0
1001,1.0
1002,1.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,1.0
1008,1.0
1009,0.0
1010,1.0
1011,0.0
1012,0.0
1013,1.0
1014,0.0
1015,1.0
1016,1.0
1017,0.0
1018,1.0
1019,0.0
1020,1.0
1021,1.0
1022,1.0
1023,1.0
1024,0.0
1025,1.0
1026,1.0
1027,1.0
1028,1.0
1029,1.0
1030,0.0
1031,1.0
1032,0.0
1033,0.0
1034,1.0
1035,1.0
1036,1.0
1037,1.0
1038,1.0
1039,1.0
1040,1.0
1041,1.0
1042,0.0
1043,1.0
1044,1.0
1045,0.0
1046,1.0
1047,1.0
1048,0.0
1049,0.0
1050,1.0
1051,0.0
1052,0.0
1053,1.0
1054,0.0
1055,1.0
1056,1.0
1057,0.0
1058,1.0
1059,1.0
1060,0.0
1061,0.0
1062,1.0
1063,1.0
1064,1.0
1065,1.0
1066,1.0
1067,0.0
1068,0.0
1069,1.0
1070,0.0
1071,0.0
1072,1.0
1073,1.0
1074,0.0
1075,1.0
1076,0.0
1077,1.0
1078,0.0
1079,1.0
1080,0.0
1081,1.0
1082,1.0
1083,1.0
1084,1.0
1085,1.0
1086,1.0
1087,1.0
1088,1.0
1089,0.0
1090,1.0
1091,0.0
1092,0.0
1093,1.0
1094,1.0
1095,0.0
1096,1.0
1097,1.0
1098,0.0
1099,1.0
1100,0.0
1101,1.0
1102,1.0
1103,1.0
1104,1.0
1105,0.0
1106,0.0
1107,1.0
1108,0.0
1109,1.0
1110,0.0
1111,1.0
1112,0.0
1113,1.0
1114,0.0
1115,1.0
1116,0.0
1117,0.0
1118,1.0
1119,0.0
1120,1.0
1121,1.0
1122,1.0
1123,0.0
1124,1.0
1125,1.0
1126,1.0
1127,1.0
1128,1.0
1129,1.0
1130,0.0
1131,0.0
1132,0.0
1133,0.0
1134,1.0
1135,1.0
1136,1.0
1137,1.0
1138,0.0
1139,1.0
1140,0.0
1141,0.0
1142,0.0
1143,1.0
1144,1.0
1145,1.0
1146,1.0
1147,1.0
1148,1.0
1149,1.0
1150,0.0
1151,1.0
1152,1.0
1153,1.0
1154,0.0
1155,0.0
1156,1.0
1157,1.0
1158,1.0
1159,1.0
1160,0.0
1161,1.0
1162,1.0
1163,1.0
1164,0.0
1165,0.0
1166,1.0
1167,0.0
1168,1.0
1169,1.0
1170,1.0
1171,1.0
1172,0.0
1173,1.0
1174,0.0
1175,0.0
1176,0.0
1177,1.0
1178,1.0
1179,1.0
1180,1.0
1181,1.0
1182,1.0
1183,0.0
1184,1.0
1185,1.0
1186,1.0
1187,1.0
1188,0.0
1189,1.0
1190,1.0
1191,1.0
1192,1.0
1193,1.0
1194,1.0
1195,1.0
1196,0.0
1197,0.0
1198,1.0
1199,1.0
1200,1.0
1201,0.0
1202,1.0
1203,1.0
1204,1.0
1205,0.0
1206,0.0
1207,0.0
1208,1.0
1209,1.0
1210,1.0
1211,1.0
1212,1.0
1213,1.0
1214,1.0
1215,1.0
1216,0.0
1217,1.0
1218,0.0
1219,1.0
1220,1.0
1221,1.0
1222,0.0
1223,1.0
1224,1.0
1225,0.0
1226,1.0
1227,1.0
1228,1.0
1229,1.0
1230,1.0
1231,1.0
1232,1.0
1233,1.0
1234,1.0
1235,0.0
1236,1.0
1237,0.0
1238,1.0
1239,0.0
1240,1.0
1241,0.0
1242,0.0
1243,1.0
1244,1.0
1245,1.0
1246,0.0
1247,1.0
1248,0.0
1249,1.0
1250,1.0
1251,0.0
1252,1.0
1253,0.0
1254,0.0
1255,1.0
1256,0.0
1257,0.0
1258,1.0
1259,0.0
1260,0.0
1261,1.0
1262,1.0
1263,0.0
1264,1.0
1265,1.0
1266,0.0
1267,0.0
1268,0.0
1269,1.0
1270,1.0
1271,1.0
1272,1.0
1273,1.0
1274,0.0
1275,0.0
1276,1.0
1277,0.0
1278,1.0
1279,1.0
1280,1.0
1281,1.0
1282,1.0
1283,0.0
1284,1.0
1285,1.0
1286,1.0
1287,0.0
1288,1.0
1289,0.0
1290,1.0
1291,1.0
1292,0.0
1293,1.0
1294,0.0
1295,1.0
1296,1.0
1297,1.0
1298,1.0
1299,1.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,1.0
1306,0.0
1307,1.0
1308,1.0
1309,1.0
